MANDANT,OBJECTCLAS,OBJECTID,CHANGENR,TABNAME,TABKEY,FNAME,CHNGIND,VALUE_OLD,VALUE_NEW
M1,BELEG,M1V386455P12,16654,VBAK,M1V386455,LIFSK,U,ZA,nan
M1,BELEG,M1V300757P28,16661,VBAK,M1V300757,LIFSK,U,ZA,nan
M1,BELEG,M1V385573P3,16669,VBAK,M1V385573,LIFSK,U,ZA,nan
M1,BELEG,M1V385566P90,16677,VBAK,M1V385566,LIFSK,U,ZA,nan
M1,BELEG,M1V386512P36,16690,VBAK,M1V386512,LIFSK,U,ZA,nan
M1,BELEG,M1V385405P12,16707,VBAK,M1V385405,LIFSK,U,ZA,nan
M1,BELEG,M1V385371P70,16738,VBAK,M1V385371,LIFSK,U,ZA,nan
M1,BELEG,M1V385525P12,16746,VBAK,M1V385525,LIFSK,U,ZA,nan
M1,BELEG,M1V385511P28,16788,VBAK,M1V385511,LIFSK,U,ZA,nan
M1,BELEG,M1V387782P12,16795,VBAK,M1V387782,LIFSK,U,ZA,nan
M1,BELEG,M1V387730P12,16830,VBAK,M1V387730,LIFSK,U,ZA,nan
M1,BELEG,M1V387725P12,16837,VBAK,M1V387725,LIFSK,U,ZA,nan
M1,BELEG,M1V387712P28,16844,VBAK,M1V387712,LIFSK,U,ZA,nan
M1,BELEG,M1V387820P80,16904,VBAK,M1V387820,LIFSK,U,ZA,nan
M1,BELEG,M1V387566P3,16915,VBAK,M1V387566,LIFSK,U,ZA,nan
M1,BELEG,M1V386651P80,16950,VBAK,M1V386651,LIFSK,U,ZA,nan
M1,BELEG,M1V387623P70,16962,VBAK,M1V387623,LIFSK,U,ZA,nan
M1,BELEG,M1V387586P36,17008,VBAK,M1V387586,LIFSK,U,ZA,nan
M1,BELEG,M1V387584P60,17016,VBAK,M1V387584,LIFSK,U,ZA,nan
M1,BELEG,M1V396571P60,17024,VBAK,M1V396571,LIFSK,U,ZA,nan
M1,BELEG,M1V396505P80,17031,VBAK,M1V396505,LIFSK,U,ZA,nan
M1,BELEG,M1V301831P3,17060,VBAK,M1V301831,LIFSK,U,ZA,nan
M1,BELEG,M1V396655P28,17068,VBAK,M1V396655,LIFSK,U,ZA,nan
M1,BELEG,M1V396618P18,17088,VBAK,M1V396618,LIFSK,U,ZA,nan
M1,BELEG,M1V395467P28,17102,VBAK,M1V395467,LIFSK,U,ZA,nan
M1,BELEG,M1V395456P18,17110,VBAK,M1V395456,LIFSK,U,ZA,nan
M1,BELEG,M1V396484P90,17117,VBAK,M1V396484,LIFSK,U,ZA,nan
